"feature","abs_PCC"
"Glucose",0.384315376748497
"HOMA",0.284012222411957
"Insulin",0.276803714096237
"Resistin",0.227310295642877
"BMI",0.132585740476684
"MCP.1",0.0913805168616007
"Age",0.0435546813127991
"Adiponectin",0.0194902796849963
"Leptin",0.0010784565948525
