"feature","abs_t"
"BMI",55.5718883994925
"Glucose",46.006179906375
"Age",37.2473360184464
"MCP.1",16.5984263118247
"Leptin",14.0668829649306
"Adiponectin",13.5448780476679
"Resistin",11.4421626649147
"Insulin",9.0396362889936
"HOMA",3.34953167380673
